"Time","Kolkata"
"02-07-2022",21.0742857142857
"03-07-2022",14.6528571428571
"04-07-2022",13.8757142857143
"05-07-2022",11.7428571428571
"06-07-2022",11.9414285714286
"07-07-2022",11.6714285714286
"08-07-2022",11.4628571428571
"09-07-2022",11.9057142857143
"10-07-2022",10.2871428571429
"11-07-2022",11.89
"12-07-2022",11.4016666666667
"13-07-2022",11.3683333333333
"14-07-2022",10.6683333333333
"15-07-2022",10.3683333333333
"16-07-2022",9.98
"17-07-2022",9.685
"18-07-2022",12.955
"19-07-2022",16.5385714285714
"20-07-2022",18.2742857142857
"21-07-2022",17.6485714285714
"22-07-2022",14.1671428571429
"23-07-2022",10.3585714285714
"24-07-2022",10.6085714285714
"25-07-2022",12.7185714285714
"26-07-2022",14.3228571428571
"27-07-2022",14.7414285714286
