"Time","Jadavpur","Ballygunge","Rabindra_Sarobar","Bidhannagar","Rabindra_Bharati","Fort_William","Victoria","Kolkata"
"20-05-2022",21.01,18.09,13.28,15.76,23.89,20.69,17.98,18.6714285714286
"21-05-2022",26.19,24.77,17.09,20.45,35.57,25.2,21.5,24.3957142857143
"22-05-2022",36.58,39.3,21.75,32.59,51.51,38.71,30.22,35.8085714285714
"23-05-2022",41.43,41.44,29.28,36.94,59.01,45.99,40.54,42.09
"24-05-2022",32.79,24.86,18.8,21.3,51.43,31.24,26.85,29.61
"25-05-2022",32.02,37.49,21.45,23.76,48.26,30.31,27.52,31.5442857142857
"26-05-2022",38.44,57.23,25.78,30.37,66.37,44.05,35.82,42.58
"27-05-2022",56.8,67.78,44.15,47.39,75.32,57.04,54.87,57.6214285714286
"28-05-2022",57.51,56.88,37.21,49.59,77.48,53.62,51.47,54.8228571428571
"29-05-2022",39.05,37.23,27.73,28.54,52.63,41.5,33.59,37.1814285714286
"30-05-2022",41.06,38.36,27.35,33.27,53.91,42.07,39.15,39.31
"31-05-2022",32.42,31.03,24.36,26.79,44.2,36.19,30.04,32.1471428571429
"01-06-2022",38.67,32.65,28.76,29.21,57.34,41.32,39.18,38.1614285714286
"02-06-2022",31.74,32.2,22.14,30.39,44.34,31.56,30.82,31.8842857142857
"03-06-2022",39.4,37.52,24.67,33.35,52.72,36.15,33.84,36.8071428571429
"04-06-2022",37.96,31.55,22.85,29.53,46.03,34.07,32.87,33.5514285714286
"05-06-2022",29.59,30.41,22.07,24.98,43.5,29.99,28.4,29.8485714285714
"06-06-2022",30.08,29.47,23.66,28.39,41.07,29.54,31.63,30.5485714285714
"07-06-2022",31.69,28.45,21.62,27.35,41.97,29.49,28.49,29.8657142857143
"08-06-2022",37.12,37.48,26.77,33.2,49.93,35.31,34.4,36.3157142857143
"09-06-2022",30.27,29.82,28.93,28.59,37.16,32.16,31.94,31.2671428571429
"10-06-2022",31.42,28.27,20.18,29.46,34.45,33.27,28.62,29.3814285714286
"11-06-2022",31.14,29.11,20.4,23.97,35.77,32.62,29.47,28.9257142857143
"12-06-2022",30.26,26.5,18.49,25.65,34.88,30.3,19.39,26.4957142857143
"13-06-2022",25.17,23.95,21.66,24.17,32.39,28.17,32.84,26.9071428571429
"14-06-2022",23.21,21.86,11.34,20.13,36.6,22.17,20.12,22.2042857142857
"15-06-2022",29.72,24.28,33.96,20.02,41.37,26.88,20.73,28.1371428571429
"16-06-2022",27.41,22.16,16.17,15.3,33.91,22.98,22.84,22.9671428571429
"17-06-2022",21.73,17.4,14.79,17.34,26.15,18.04,14.63,18.5828571428571
"18-06-2022",21.46,14.69,13.44,12.61,28.97,17.93,11.34,17.2057142857143
"19-06-2022",19.83,15.95,11.75,14.19,24.53,18.04,12.9,16.7414285714286
"20-06-2022",21.83,14.62,12.73,12.04,29.24,19.62,12.69,17.5385714285714
"21-06-2022",24.56,23.93,15.14,18.88,41.33,25.98,21.28,24.4428571428571
"22-06-2022",20.08,17.87,12.23,15.6,29.36,19.99,12.96,18.2985714285714
"23-06-2022",19.11,13.18,10.48,8.52,25.01,16.88,8.51,14.5271428571429
"24-06-2022",20.3,17.63,10.19,12.01,27.43,18.36,14.07,17.1414285714286
"25-06-2022",23.91,19.5,7.41,12.12,28,22.77,16.54,18.6071428571429
